スキルカード名,分類,カードタイプ,プラン,消費対象,消費,メモリー,制限,レアリティ,PLv,備考
アピールの基本,Default,A アクティブ,F 共通,元気/体力,4,無し,－,N 白札,-,
ポーズの基本,Default,A アクティブ,F 共通,元気/体力,3,無し,－,N 白札,-,
挑戦,Default,A アクティブ,S センス,元気/体力,7,無し,レッスン/試験中1回,N 白札,-,
試行錯誤,Default,A アクティブ,S センス,元気/体力,7,無し,レッスン/試験中1回,N 白札,-,
可愛い仕草,Default,A アクティブ,L ロジック,元気/体力,5,無し,レッスン/試験中1回,N 白札,-,
気分転換,Default,A アクティブ,L ロジック,体力,5,無し,レッスン/試験中1回,N 白札,-,
表現の基本,Default,M メンタル,F 共通,元気/体力,0,開始時,レッスン/試験中1回,N 白札,-,
振る舞いの基本,Default,M メンタル,S センス,元気/体力,1,無し,－,N 白札,-,
表情の基本,Default,M メンタル,S センス,元気/体力,1,無し,－,N 白札,-,
目線の基本,Default,M メンタル,L ロジック,元気/体力,2,無し,－,N 白札,-,
意識の基本,Default,M メンタル,L ロジック,元気/体力,2,無し,－,N 白札,-,
眠気,Default,T トラブル,F 共通,元気/体力,0,無し,レッスン/試験中1回,N 白札,-,
軽い足取り,Default,A アクティブ,S センス,元気/体力,4,開始時,－,R 青札,-,
愛嬌,Default,A アクティブ,S センス,元気/体力,4,中間後,－,R 青札,-,
準備運動,Default,A アクティブ,S センス,元気/体力,4,開始時,－,R 青札,-,
ファンサ,Default,A アクティブ,S センス,元気/体力,2,中間後,－,R 青札,2,
ファンサ+,Default,A アクティブ,S センス,元気/体力,2,開始時,－,R 青札,2,
勢い任せ,Default,A アクティブ,S センス,元気/体力,4,開始時,－,R 青札,9,
勢い任せ+,Default,A アクティブ,S センス,元気/体力,4,開始時,－,R 青札,9,
ハイタッチ,Default,A アクティブ,S センス,元気/体力,4,－,レッスン/試験中1回,R 青札,13,
ハイタッチ+,Default,A アクティブ,S センス,元気/体力,4,開始時,レッスン/試験中1回,R 青札,13,
トークタイム,Default,A アクティブ,S センス,元気/体力,6,開始時,レッスン/試験中1回,R 青札,14,
トークタイム+,Default,A アクティブ,S センス,元気/体力,6,開始時,レッスン/試験中1回,R 青札,14,
今日もおはよう,Default,A アクティブ,L ロジック,元気/体力,4,開始時,－,R 青札,-,
今日もおはよう+,Default,A アクティブ,L ロジック,元気/体力,4,中間後,－,R 青札,-,
ゆるふわおしゃべり,Default,A アクティブ,L ロジック,体力,4,開始時,レッスン/試験中1回,R 青札,-,
ゆるふわおしゃべり+,Default,A アクティブ,L ロジック,体力,4,中間後,レッスン/試験中1回,R 青札,-,
もう少しだけ,Default,A アクティブ,L ロジック,元気/体力,5,－,－,R 青札,-,
手拍子,Default,A アクティブ,L ロジック,元気/体力,5,開始時,レッスン/試験中1回,R 青札,13,
手拍子+,Default,A アクティブ,L ロジック,元気/体力,5,開始時,レッスン/試験中1回,R 青札,13,
元気な挨拶,Default,A アクティブ,L ロジック,体力,4,開始時,レッスン/試験中1回,R 青札,14,
元気な挨拶+,Default,A アクティブ,L ロジック,体力,3,開始時,レッスン/試験中1回,R 青札,14,
気合十分！,Default,M メンタル,F 共通,元気/体力,0,開始時,－,R 青札,16,
ファーストステップ,Default,M メンタル,F 共通,元気/体力,0,開始時,レッスン/試験中1回 重複不可,R 青札,16,
ファーストステップ+,Default,M メンタル,F 共通,元気/体力,0,中間後,レッスン/試験中1回 重複不可,R 青札,16,
バランス感覚,Default,M メンタル,S センス,元気/体力,2,－,－,R 青札,-,
楽観的,Default,M メンタル,S センス,元気/体力,2,開始時,－,R 青札,4,
深呼吸,Default,M メンタル,S センス,元気/体力,3,開始時,－,R 青札,19,
深呼吸+,Default,M メンタル,S センス,元気/体力,3,中間後,－,R 青札,19,
リスタート,Default,M メンタル,L ロジック,元気/体力,4,開始時,－,R 青札,-,
リスタート+,Default,M メンタル,L ロジック,元気/体力,3,中間後,－,R 青札,-,
えいえいおー,Default,M メンタル,L ロジック,元気/体力,2,開始時,－,R 青札,-,
えいえいおー+,Default,M メンタル,L ロジック,元気/体力,2,中間後,－,R 青札,-,
リズミカル,Default,M メンタル,L ロジック,元気/体力,0,開始時,レッスン/試験中1回,R 青札,2,
リズミカル+,Default,M メンタル,L ロジック,元気/体力,0,中間後,レッスン/試験中1回,R 青札,2,
思い出し笑い,Default,M メンタル,L ロジック,元気/体力,2,開始時,－,R 青札,4,
思い出し笑い+,Default,M メンタル,L ロジック,元気/体力,2,開始時,－,R 青札,4,
パステル気分,Default,M メンタル,L ロジック,元気/体力,3,開始時,－,R 青札,9,
励まし,Default,M メンタル,L ロジック,元気/体力,4,開始時,－,R 青札,19,
